P
6.3
1.1
0
0
0
3.8
35
5.9
19
2.7
8.3
6.6
0.3
0
0
0
0
1.7
2.9
22.9
5.1
1.4
0
0
0.3
0.1
0
0.7
0
0
0
1.1
0.3
46.5
0.1
1.5
0
0
0
8.1
3.8
12.9
3.2
29.8
24.3
13.3
7.6
0
0.6
28.6
3.8
72.1
30.9
13.1
37.6
3.5
9.9
1.9
2.1
44.5
11.1
7.8
2.7
0
6.4
0.3
3.2
0.2
0
0
0
11.1
0.4
1.9
0
0
5.2
0.1
0
2.5
24.9
9
6.5
4.4
0.2
0
0
0
0
0
0
0
1.8
1.4
0
0
28.1
0
4
21.5
0.6
1
0
0
0
0
0
0
0
8.8
43.6
3.5
0.2
0.2
0
0
0
1.3
0.2
4
0
19.5
0.3
0.2
0
0
0.3
0
0
0.6
0.6
0.4
0.5
0.7
0.2
30.9
25.2
0
0
0
24.3
15.6
6
0.2
0
0
0
0.3
0
0
0
1.6
0
0
0
0
0
0
0
0
0
0
0.3
0
0
0
16.8
0
1.6
2.1
3.8
2.6
0
0.2
4
9.5
0
0.2
8.5
4.5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.3
0
0
4.2
2.5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
21.9
0.7
1.1
0
0
0.9
1.9
0
0
0
0
0
0
0
0
0
11.5
8.3
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
10.1
0.6
1.2
0
6.2
20.6
0
0.1
0
0
0
0
13.6
1.7
1.6
0
0
0
0
0
0
42.2
3.8
0
3.8
0
2.8
0.4
0
3.8
21.6
14.3
2.3
0
0
0
2
0
17.3
0
4.9
0.2
0.7
11.4
1.1
5.8
4.4
12.6
0.2
0
0.2
4.2
0
0.2
20.9
18.3
2.8
0
0
0
0
7.1
0
0
28.6
7.8
2.8
0
0
0
0
13.5
0
0
0
0
0
0
2.1
8.2
0.3
5.9
23.8
72.1
80.8
12.3
36.5
38
9.2
1.7
0
8.4
1.1
0
0
0
1.1
11.9
5.9
41.9
0
7.3
0.2
10.7
5.4
0
4.3
0
0
0
0
22.8
9.4
0
0.4
6.6
23.9
1.6
37.8
24.3
1.7
0
0
7.4
3.1
5.3
29.1
0.1
9.5
12.4
1.1
0.1
4.1
0.5
0.6
0
0
11.3
0
16.4
64.7
0
0
0
1.1
21.1
0.3
15.1
0.9
30.4
30.1
8.7
0
0
0
7.9
52.3
0.6
0.1
0
0
0
1.7
3
1.6
0.4
0
3.1
0
9.4
4.1
21.6
0.2
18.4
4.3
0.4
7.8
0
0
0
0
0
24.2
1.3
0.2
0
0
0
0
0
2.1
22.9
16.1
1.6
0
0
0
0
0
0
0
0
0
0
0
0
0.9
0
0
0
2.4
1.2
44.1
2.7
0
0
0
0
0
7.1
56.4
0.6
0
0
0
4.3
0.4
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.9
0
0.8
0
16.6
5.7
3.4
0
0
0
0
12.9
0.2
0
0
0
0
0
0
0
0.4
0.2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.2
0
0
0
0
0
0
0
0
0
0
0.2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.4
0
0
1.4
0
0
0
10.2
2.5
0.2
0
0.3
0.9
0
0
0
0
0
0
2.7
3.4
0.2
0
0
1.5
0
0
0
0
0
0
0
0
0
1.5
1.2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.9
0
0
1.9
5.8
0
7
15.5
19.7
67.2
0
0
0.4
0
2.1
0.9
0
19.5
0
0
0
10.2
15.1
0.1
2.8
6.6
35.5
0
16.8
9.7
0
0
0
14
2.8
0.4
0
23.1
0.2
0
0
0
6.2
1.1
0.6
19.4
1.8
6.2
0.4
4.8
5.1
0.3
0.1
0
9.1
10.2
3.6
0.3
0
0
0
11.4
23
0
0.4
0
0
2.3
2.8
3.9
23.8
0
11.5
0
33.5
0
9.5
7.3
5.7
11.4
1.1
3.2
16.9
0
0.2
0
15.4
10.9
0
0
0
22.7
1.5
0
0
0
0
0
0
3.4
14.4
23.9
9.7
4.4
0
0
4.2
0
0
0
2.6
1.9
0
1.9
0.8
0
0
0
31.1
7.5
4.4
0
1
17.9
1.4
0
0
0
6.5
0
46.4
0
0
7
0.3
0
18.9
13.2
12.6
10.5
0
0
0
0
0.2
37.9
0
0
29
0.2
0.3
0
0
11.9
88
71.9
23
17.6
17.4
3.4
13.8
0
7.2
0
0
0
0
11.4
0.2
0
0
0
3.3
0
0.2
0.6
1.4
1.1
0
0
0
0
0
25.4
0
0
0
0.1
0
0.1
1.2
0.2
9.4
0
0
0
0.4
0
0
1.2
0
0.3
3.4
9.2
0
2.2
2.8
13.3
1.7
0.6
0.1
0.1
0.4
0
0.2
0.3
0
0
0
0
0
0
0
0
0
0.6
0
0
0
0
0
0
1.4
0.2
0.7
0.2
0
8.7
2.1
0.2
0
1.3
0.1
3.1
0
0
0
0.2
0.8
0
0
0
0
0.1
0
0
0
0
0
0.1
0.2
0.1
0
0
0
0
0
0
0.1
0
0.4
0
0
0
15.2
12.5
0.1
0.2
0.2
0.3
0
0
0
1.1
1
0
0
0.1
9.6
4.7
0.1
0
0.2
0
0
0.2
0.2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
